Finalized HDI table (from 3A and 3B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,United States,45,2,No Kids,deg,5,15000,retired,12,0,Large-City,Married,0,0,4,3,2,2,2,1,1,2,4,3,1,2,3,2,2,2,4,2,4,3,4,2,1,4,4,1,3,2,4,4,3,3,1,2,3,2,2,3,4,2,3,3,4,4,2,yes,yes,Other,2.6,2.4,2.7,3.2,0.92,Very High Human Development
2054,United States,55,2,No Kids,phd,3,45000, Epidemiologist,23,0,Small City,Single,0,0,3,2,4,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,4,3,2,1,4,3,2,2,2,2,1,1,4,1,1,1,2,1,2,2,3,3,3,3,3,2,no,no,Other,2.2,1.466667,2,2.8,0.92,Very High Human Development
2055,United States,23,2,No Kids,deg,4,35000,Office Manager,1,6,Large-City,Single,0,0,3,3,2,2,2,3,3,4,4,3,4,2,4,3,4,4,4,3,3,4,4,4,4,5,4,4,4,3,4,2,4,4,4,4,4,4,4,5,4,4,3,3,3,4,2,yes,no,Manager,2.4,3.466667,3.95,3,0.92,Very High Human Development
2056,United States,32.5,2,Yes Kids,ltuni,3,45000, admin assist,5,0,Large Town,Married,0,1,4,2,3,2,2,4,2,4,4,2,4,2,3,1,5,2,2,4,1,4,5,1,3,5,5,3,5,3,3,3,3,4,4,3,4,5,4,5,4,5,4,3,3,3,4,yes,no,Other,2.6,2.933333,3.85,3.4,0.92,Very High Human Development
2057,United States,67.5,2,No Kids,ltuni,3,45000,self-employed Photographer,30,0,Large-City,Divorced,0,0,3,3,3,2,2,2,3,3,4,4,3,5,4,3,4,2,3,3,4,5,5,3,4,1,3,3,4,3,4,5,4,5,3,3,4,5,4,5,4,4,3,3,3,3,2,yes,yes,Self Employeed,2.6,3.466667,3.8,2.8,0.92,Very High Human Development
2058,United States,55,2,No Kids,deg,3,45000,Business Owner,17,0,Medium-Sized,Married,0,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,1,1,1,yes,yes,Other,5,3.933333,4.6,1,0.92,Very High Human Development
2059,United States,37.5,3,Yes Kids,deg,3,45000,Warehouse Supervisor,1,9,Small City,Married,0,1,3,3,1,2,3,4,1,5,2,2,2,2,3,3,4,3,1,5,1,2,3,2,5,4,1,3,2,3,4,3,2,2,5,5,4,4,4,4,4,4,1,2,2,1,5,yes,yes,Other,2.4,2.666667,3.4,2.2,0.92,Very High Human Development
2060,United States,20,2,No Kids,ltuni,6,NA,NA,0,0,Large-City,Single,0,0,3,2,2,1,1,1,4,4,4,3,4,5,4,2,5,5,5,3,4,5,4,2,1,5,4,3,3,4,5,4,4,5,2,4,4,3,3,3,4,5,4,5,2,4,3,yes,yes,Other,1.8,3.866667,3.6,3.6,0.92,Very High Human Development
2061,United States,67.5,3,No Kids,dip,3,35000,writer,30,0,Small City,Divorced,0,0,2,2,2,2,1,2,2,3,3,3,1,2,4,3,2,2,4,3,2,2,2,1,4,5,4,2,4,4,4,3,2,4,2,3,4,4,3,4,3,4,2,2,4,3,2,yes,yes,Writer,1.8,2.533333,3.3,2.6,0.92,Very High Human Development
2062,United States,24,2,No Kids,deg,3,35000,Server,5,0,Medium-Sized,Single,0,0,3,3,1,1,1,1,3,5,5,5,1,5,3,3,5,5,5,5,4,5,5,1,1,5,5,5,5,2,5,5,5,5,4,5,3,5,5,5,5,5,1,1,1,2,1,yes,yes,Other,1.8,4,4.3,1.2,0.92,Very High Human Development
2063,United States,55,3,Yes Kids,deg,3,67500,Director of non-profit organization,8,6,Small City,Married,3,1,4,4,3,3,3,3,3,4,3,3,2,4,4,3,3,3,3,3,4,4,4,2,3,3,3,3,4,4,4,4,4,4,4,4,4,2,3,4,2,4,3,3,2,4,1,yes,yes,Director,3.4,3.266667,3.45,2.6,0.92,Very High Human Development
2064,United States,55,3,No Kids,deg,3,150000,Insurance,5,0,Medium-Sized,Married,0,0,4,4,3,3,3,2,1,5,1,1,2,1,3,2,3,3,2,1,1,3,3,2,2,1,3,1,3,4,4,4,1,3,4,4,4,3,4,3,4,3,3,3,3,4,2,yes,no,Insurance/Insurance Related,3.4,2.066667,3,3,0.92,Very High Human Development
2065,United States,45,2,No Kids,ma,3,87500,Sr. Drug Safety Associate,4,2,Large Town,Divorced,0,0,1,1,1,1,1,2,2,4,3,3,1,2,1,2,2,1,3,1,4,3,3,1,1,1,2,1,3,1,3,1,4,3,2,1,3,1,1,2,1,3,3,4,4,3,2,yes,no,Other,1,2.266667,1.9,3.2,0.92,Very High Human Development
2066,United States,45,2,No Kids,high,3,67500,Electrical Technician,14,0,Large-City,Married,0,0,5,5,5,5,5,2,5,3,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,3,5,5,1,1,1,5,1,2,2,2,3,3,yes,yes,Other,5,4.333333,3.7,2.4,0.92,Very High Human Development
2067,United States,55,2,Yes Kids,high,6,45000,NA,0,9,Small Town,Married,2,4,5,5,5,4,4,3,2,5,4,5,5,5,4,4,5,5,3,4,4,5,5,2,3,3,5,4,5,4,5,3,3,3,4,5,5,5,3,5,5,5,3,2,3,4,2,yes,yes,Other,4.6,4.2,4.1,2.8,0.92,Very High Human Development
2068,United States,55,3,No Kids,deg,3,87500,engineer,17,0,Medium-Sized,Married,0,0,3,3,3,2,2,1,1,3,1,2,3,2,1,2,3,2,1,2,1,2,3,2,2,4,2,2,3,2,4,1,4,3,1,1,3,3,2,4,3,4,3,3,3,4,3,yes,no,Other,2.6,1.8,2.65,3.2,0.92,Very High Human Development
2069,United States,28,2,Yes Kids,deg,4,15000,Senior Staff Writer,1,0,Small City,Married,0,1,5,5,5,5,5,4,4,5,5,5,4,5,5,2,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,3,4,5,5,3,3,5,5,5,5,3,3,4,3,4,2,yes,yes,Writer,5,4.533333,4.45,3.2,0.92,Very High Human Development
2070,United States,28,3,No Kids,ma,6,10000,Writing Consultant,1,0,Medium-Sized,Single,0,0,3,4,4,4,4,4,2,3,2,3,2,3,5,2,4,4,5,4,2,4,3,2,3,3,5,3,3,4,5,3,3,5,4,4,4,3,3,3,3,4,4,3,4,4,4,yes,yes,Consultant,3.8,3.266667,3.5,3.8,0.92,Very High Human Development
2071,United States,25,3,No Kids,deg,3,250000,Private Equity Principal,1,4,Large-City,Single,0,0,3,1,1,1,1,1,3,5,5,4,1,5,4,3,5,2,4,3,4,5,4,1,2,3,1,1,3,1,5,4,3,4,1,2,2,3,2,3,5,4,4,5,4,4,3,yes,yes,Other,1.4,3.6,2.7,4,0.92,Very High Human Development
2072,United States,32.5,2,No Kids,ma,3,45000,Art Director,1,0,Large-City,Single,0,0,2,2,2,1,1,1,3,3,4,3,1,1,3,2,2,3,3,4,2,3,3,2,1,2,2,2,3,2,3,2,3,3,4,2,3,4,3,2,2,2,4,4,4,4,3,no,no,Director,1.6,2.533333,2.5,3.8,0.92,Very High Human Development
2073,United States,55,2,No Kids,deg,7,35000,NA,0,0,Large-City,Divorced,0,0,4,4,4,3,3,2,3,5,5,3,2,3,4,3,3,3,4,3,4,4,4,2,4,4,2,2,4,3,4,3,2,4,4,4,4,5,4,4,4,4,3,2,3,2,2,yes,yes,Other,3.6,3.4,3.55,2.4,0.92,Very High Human Development
2074,United States,25,3,No Kids,ma,6,25000,NA,3,0,Large-City,Single,0,0,2,4,1,2,2,4,4,5,5,5,4,5,4,4,5,2,4,2,4,5,4,5,4,5,5,4,4,3,4,4,4,5,4,4,5,4,4,4,4,3,2,2,2,2,2,yes,yes,Other,2.2,4.133333,4.15,2,0.92,Very High Human Development
2075,United States,24,2,No Kids,dip,3,35000,Social Worker,2,6,Medium-Sized,Single,0,0,2,4,4,3,2,2,2,1,3,2,1,2,3,2,2,3,3,3,3,3,3,3,2,5,2,2,3,4,3,2,3,3,3,4,3,3,3,3,3,3,4,4,4,4,3,yes,no,Other,3,2.333333,3,3.8,0.92,Very High Human Development
2076,United States,45,2,No Kids,deg,7,NA,NA,0,0,Small City,Single,0,0,2,2,2,2,2,1,1,2,3,2,1,2,3,3,4,4,3,4,3,4,4,3,2,2,2,1,4,2,3,1,3,4,2,2,3,3,3,3,3,2,4,4,4,4,4,no,4,Other,2,2.666667,2.6,4,0.92,Very High Human Development
2077,United States,37.5,2,No Kids,ma,3,55000,Research Associate,1,6,Medium-Sized,Single,0,0,3,2,2,2,2,2,2,3,4,2,3,2,4,2,3,3,4,4,3,4,4,3,3,4,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,4,4,3,yes,no,Other,2.2,3,3,3.4,0.92,Very High Human Development
2078,United States,55,2,Yes Kids,ma,3,55000, teacher,30,0,Large Town,Divorced,1,0,3,1,2,1,2,1,1,2,3,2,2,1,4,2,2,3,3,2,2,2,2,1,2,2,2,2,2,3,3,1,2,2,2,3,4,4,3,2,3,2,3,4,4,4,3,yes,no,Teacher,1.8,2.133333,2.35,3.6,0.92,Very High Human Development
2079,United States,67.5,3,Yes Kids,ma,5,250000,retired,5,0,Large Town,Married,2,0,1,3,1,1,1,1,1,5,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,2,1,3,1,3,2,1,1,3,1,2,2,2,1,3,2,2,5,5,5,5,5,yes,no,Other,1.4,1.466667,1.8,5,0.92,Very High Human Development
2080,United States,22,2,No Kids,dip,6,10000,NA,0,9,Large-City,Single,0,0,2,2,4,3,3,1,1,5,2,2,3,4,4,1,3,5,2,3,2,1,4,4,4,5,4,4,4,3,4,1,3,3,2,2,4,4,4,4,4,4,4,4,4,2,2,yes,yes,Other,2.8,2.6,3.55,3.2,0.92,Very High Human Development
2081,United States,55,3,Yes Kids,deg,3,45000, teacher,13,0,Small City,Married,1,1,2,3,2,2,2,2,1,3,2,2,1,1,2,2,3,3,2,2,2,3,3,2,2,2,4,2,2,2,2,2,3,3,2,4,3,3,3,2,3,2,3,3,3,3,3,no,no,Teacher,2.2,2.066667,2.55,3,0.92,Very High Human Development
2082,United States,55,3,No Kids,ma,5,67500,NA,2,0,Medium-Sized,Separated,0,0,2,2,2,2,1,2,2,3,3,3,2,2,3,2,2,2,3,2,2,2,3,1,2,3,2,2,2,2,3,3,4,2,4,2,3,3,2,3,2,2,4,4,4,4,4,yes,no,Other,1.8,2.333333,2.5,4,0.92,Very High Human Development
2083,United States,19,2,No Kids,ltuni,6,10000,NA,2,0,Large-City,Single,0,0,4,4,3,4,4,1,3,5,3,2,1,4,4,1,2,2,3,4,2,2,4,1,2,3,3,2,4,3,5,4,3,4,2,2,4,4,3,4,5,5,3,3,4,3,3,yes,no,Other,3.8,2.6,3.35,3.2,0.92,Very High Human Development
2084,United States,45,2,Yes Kids,dip,3,67500,Creative Director,10,0,Small City,Married,0,3,3,3,4,2,2,2,4,3,4,2,4,5,3,1,3,4,5,3,1,3,3,1,2,4,4,3,3,4,3,5,5,5,3,4,4,5,5,3,3,3,4,3,4,4,3,yes,yes,Director,2.8,3.133333,3.6,3.6,0.92,Very High Human Development
2085,United States,32.5,2,No Kids,phd,3,150000,attorney,1,0,Large-City,Single,0,0,4,2,3,1,1,1,2,3,2,1,2,2,3,2,2,3,4,2,2,2,3,3,2,4,2,2,4,4,4,2,3,5,2,3,4,3,3,3,2,3,3,3,4,4,3,yes,yes,Other,2.2,2.2,3.05,3.4,0.92,Very High Human Development
2086,United States,28,2,No Kids,ma,6,15000,NA,3,0,Small City,Single,0,0,3,3,3,2,2,3,3,4,4,3,3,4,3,3,3,2,4,3,4,3,3,2,2,3,4,4,3,3,3,2,4,3,3,4,3,3,2,3,3,3,5,5,5,5,4,yes,yes,Other,2.6,3.266667,3,4.8,0.92,Very High Human Development
2087,United States,24,2,No Kids,deg,3,45000, teacher,2,0,Small City,Single,0,0,2,3,4,2,2,1,2,1,4,1,4,3,4,2,2,3,3,2,3,3,4,3,3,4,5,3,3,3,4,2,3,3,4,3,3,3,2,4,3,4,3,4,3,4,3,yes,yes,Teacher,2.6,2.533333,3.3,3.4,0.92,Very High Human Development
2088,United States,32.5,3,No Kids,ltuni,6,15000,NA,3,0,Large-City,Single,0,0,4,4,5,3,3,1,1,3,2,3,1,4,5,3,5,2,1,3,2,2,4,1,5,4,4,3,4,4,5,1,2,4,2,3,5,5,4,5,3,5,2,3,2,2,1,yes,yes,Other,3.8,2.533333,3.65,2,0.92,Very High Human Development
2089,United States,25,2,No Kids,ma,3,35000,Law clerk,0,8,Medium-Sized,Single,0,0,1,1,1,1,1,3,2,1,2,2,4,1,1,1,1,4,3,4,1,3,2,1,1,1,1,1,3,4,5,2,1,4,5,4,3,5,5,4,5,2,4,5,5,5,5,yes,no,Other,1,2.2,2.95,4.8,0.92,Very High Human Development
2090,United States,25,2,No Kids,deg,3,35000,Editor,1,4,Large-City,Married,0,0,3,3,3,2,2,1,1,2,3,2,4,3,3,1,2,2,3,4,3,1,2,1,2,4,2,3,2,2,4,1,2,3,2,1,2,2,1,2,2,1,4,5,5,5,5,yes,no,Other,2.6,2.333333,2.05,4.8,0.92,Very High Human Development
2091,United States,45,3,No Kids,ltuni,3,25000,president/CEO,1,6,Large-City,Married,0,0,4,3,3,4,4,2,1,5,2,3,5,4,3,3,4,2,2,3,2,3,3,2,4,5,3,4,4,3,4,1,5,2,2,3,4,3,3,4,4,5,2,1,3,3,2,yes,yes,Other,3.6,2.933333,3.4,2.2,0.92,Very High Human Development
2092,United States,55,3,Yes Kids,ma,3,45000,Pastor ; Life coach  clergy,17,0,Village,Married,2,0,4,4,4,4,3,3,3,5,3,5,5,5,5,5,5,3,4,4,4,4,4,4,5,4,3,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,2,3,3,2,2,yes,yes,Other,3.8,4.2,3.8,2.4,0.92,Very High Human Development
2093,United States,28,3,Yes Kids,high,7,35000,Marketing,4,0,Large-City,Married,2,1,4,5,4,4,4,4,2,4,4,5,5,5,5,5,5,4,2,3,2,5,5,5,5,4,4,3,5,4,5,5,3,5,4,4,4,4,4,5,5,5,3,1,1,4,1,yes,yes,Other,4.2,4,4.4,2,0.92,Very High Human Development
2094,United States,37.5,3,Yes Kids,ma,3,150000,IT Director,4,0,Medium-Sized,Married,2,1,3,2,3,2,2,2,1,4,2,3,2,2,3,3,3,2,2,2,2,2,2,1,2,2,3,2,2,3,2,2,3,2,3,2,2,3,2,3,2,2,3,3,4,4,4,no,no,Director,2.4,2.333333,2.25,3.6,0.92,Very High Human Development
2095,United States,21,2,No Kids,ltuni,6,NA,NA,0,0,Medium-Sized,Single,0,0,5,4,4,3,3,1,2,5,3,3,4,5,5,3,3,2,3,3,3,1,4,1,3,3,2,3,3,4,5,2,3,4,1,3,5,3,2,5,4,5,2,3,3,4,2,yes,yes,Other,3.8,3.066667,3.25,2.8,0.92,Very High Human Development
2096,United States,16.5,2,No Kids,lthigh,6,NA,NA,0,0,Large Town,Single,0,0,4,4,2,2,2,1,4,2,3,2,2,3,4,2,2,2,4,3,4,2,4,3,2,5,2,2,4,2,4,2,4,4,2,2,3,4,2,4,4,2,3,3,3,3,4,yes,yes,Other,2.8,2.666667,3.05,3.2,0.92,Very High Human Development
2097,United States,32.5,2,No Kids,deg,3,25000,secretary,5,0,Medium-Sized,Married,0,0,3,3,3,3,3,1,1,1,4,3,2,3,2,2,5,4,4,3,3,4,4,3,2,4,3,4,4,4,4,2,4,4,2,2,5,3,1,4,4,3,3,3,3,4,2,yes,yes,Other,3,2.8,3.3,3,0.92,Very High Human Development
2098,United States,32.5,2,No Kids,ma,3,67500,Program director at a non-profit organiz,2,0,Large-City,,0,0,3,3,3,2,3,2,2,3,4,2,3,3,2,2,4,2,3,2,2,4,4,2,2,3,4,2,4,2,3,4,3,4,2,2,3,5,4,3,3,4,4,4,4,4,4,yes,no,Director,2.8,2.666667,3.15,4,0.92,Very High Human Development
2099,United States,55,2,No Kids,ma,4,67500,Tax Examiner,1,0,Large-City,Single,0,0,4,4,3,2,2,1,1,4,2,2,3,3,4,2,4,2,1,2,1,2,4,3,4,2,4,4,4,4,4,1,4,3,2,4,4,4,4,3,4,4,4,5,4,5,4,yes,yes,Other,3,2.266667,3.5,4.4,0.92,Very High Human Development
2100,United States,21,3,No Kids,ltuni,6,10000,NA,3,0,Medium-Sized,Single,0,0,4,4,2,1,1,2,1,1,4,2,2,4,3,2,4,2,1,3,2,1,3,1,2,4,2,3,4,3,4,2,2,3,3,2,4,3,3,4,3,4,3,4,4,4,3,yes,yes,Other,2.4,2.266667,2.95,3.6,0.92,Very High Human Development
2101,United States,32.5,3,No Kids,deg,3,45000,IT Engineer,8,0,Large Town,Single,0,0,4,4,4,3,3,1,3,5,4,3,2,4,3,3,4,5,4,2,3,3,4,2,2,4,3,4,3,3,4,3,3,4,2,3,3,5,3,4,4,3,2,3,2,2,2,yes,yes,Other,3.6,3.266667,3.3,2.2,0.92,Very High Human Development
2102,United States,22,2,No Kids,deg,3,45000, teacher,0,10,Large-City,Single,0,0,3,4,4,2,2,2,2,2,4,4,5,4,4,3,4,4,5,4,3,3,4,2,2,5,4,5,4,5,4,3,2,4,2,3,4,4,3,5,4,5,1,1,2,3,2,yes,yes,Teacher,3,3.533333,3.7,1.8,0.92,Very High Human Development
2103,United States,19,2,No Kids,ltuni,6,NA,NA,0,0,Medium-Sized,Single,0,0,3,2,2,1,2,4,2,2,2,1,1,1,2,4,1,2,2,2,1,1,2,1,2,5,3,2,2,2,3,2,4,3,2,2,2,2,3,1,3,2,4,4,4,4,4,no,no,Other,2,1.866667,2.4,4,0.92,Very High Human Development
2104,United States,45,2,No Kids,deg,3,87500,Graphic Designer,28,0,Large-City,Single,0,0,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,1,2,1,1,1,1,1,5,2,2,1,1,1,2,3,3,1,2,1,2,1,1,1,1,5,5,5,5,5,no,no,Other,1,1.4,1.65,5,0.92,Very High Human Development
2105,United States,21,2,No Kids,ltuni,6,10000,NA,3,0,Medium-Sized,Married,0,0,3,3,4,4,4,3,3,4,4,3,2,5,3,3,3,4,3,4,3,3,3,3,3,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,yes,yes,Other,3.6,3.333333,3.7,3.8,0.92,Very High Human Development
2106,United States,45,2,No Kids,ma,3,67500,writer,17,0,Medium-Sized,Single,0,0,3,3,2,2,2,2,2,4,3,2,2,3,2,1,1,3,3,3,2,3,3,1,1,2,3,3,2,3,3,2,4,3,3,2,2,3,2,3,3,2,4,4,4,3,3,no,no,Writer,2.4,2.4,2.5,3.6,0.92,Very High Human Development
2107,United States,28,3,No Kids,phd,3,250000,Attorney,2,0,Large-City,Single,0,0,2,3,2,2,2,1,1,2,3,2,3,3,3,2,2,2,1,3,1,2,3,1,2,4,4,2,3,2,3,2,2,3,3,3,3,4,4,2,4,3,4,5,5,5,4,yes,no,Other,2.2,2.066667,2.85,4.6,0.92,Very High Human Development
2108,United States,45,3,No Kids,ma,3,10000,Artist,9,2,Small City,Single,0,0,1,2,3,1,1,1,1,3,1,1,1,1,1,4,1,3,1,3,1,2,4,1,1,2,1,1,3,4,4,1,5,3,2,2,3,4,3,4,4,4,2,2,1,3,2,yes,no,Other,1.6,1.666667,2.8,2,0.92,Very High Human Development
2109,United States,32.5,2,No Kids,phd,3,55000,assistant professor,3,9,Large-City,Single,0,0,5,5,4,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,5,2,1,5,5,2,5,2,5,1,1,5,3,2,2,5,4,5,4,4,5,5,5,5,5,yes,no,Other,3.2,1.333333,3.4,5,0.92,Very High Human Development
2110,United States,45,3,No Kids,ltuni,7,10000,NA,0,0,Medium-Sized,Divorced,0,0,2,3,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,2,3,4,4,4,4,4,4,2,4,1,1,1,1,1,yes,yes,Other,2.8,3.8,3.6,1,0.92,Very High Human Development
2111,United States,55,3,Yes Kids,deg,3,150000,director,0,6,Large-City,Married,0,2,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,3,2,2,2,2,yes,yes,Director,3.6,3.866667,3.55,2.2,0.92,Very High Human Development
2112,United States,32.5,2,No Kids,phd,3,67500,college professor,5,0,Large-City,Single,0,0,3,2,3,1,1,1,1,3,2,2,2,3,3,3,2,4,2,3,1,3,3,1,1,5,2,3,4,3,4,1,1,4,1,3,3,3,3,4,5,4,2,3,3,4,2,yes,no,Other,2,2.333333,2.9,2.8,0.92,Very High Human Development
2113,United States,32.5,2,No Kids,phd,3,45000,NA,0,0,Small City,Single,0,0,4,4,5,3,3,1,1,4,4,3,5,5,2,2,3,5,4,1,4,3,4,1,2,4,3,3,3,4,5,4,4,4,3,4,5,4,2,3,4,2,5,5,5,5,4,yes,yes,Other,3.8,3.133333,3.4,4.8,0.92,Very High Human Development
2114,United States,45,2,No Kids,ma,3,87500,senior consultant,5,0,Large-City,Married,0,0,3,2,4,2,2,1,2,4,3,2,1,3,2,1,4,3,4,2,4,2,3,3,2,5,2,2,3,3,2,2,4,2,2,3,3,4,3,2,3,2,4,4,4,4,4,no,no,Consultant,2.6,2.533333,2.75,4,0.92,Very High Human Development
2115,United States,21,2,No Kids,deg,6,10000,NA,4,0,Large Town,Single,0,0,3,4,5,2,2,1,1,4,3,1,2,3,3,1,3,2,2,4,1,1,4,1,3,3,4,3,3,4,3,2,2,3,2,3,2,5,3,2,4,4,3,3,4,4,3,yes,no,Other,3.2,2.133333,3,3.4,0.92,Very High Human Development
2116,United States,21,2,No Kids,ltuni,6,10000,Physical Science Technician,0,11,Medium-Sized,Single,0,0,3,3,3,1,1,1,1,4,2,1,2,3,3,1,3,2,3,3,3,2,3,1,2,5,1,1,3,3,4,2,2,2,1,3,4,2,3,2,3,4,3,4,5,5,5,yes,no,Other,2.2,2.266667,2.55,4.4,0.92,Very High Human Development
2117,United States,21,2,No Kids,deg,3,35000,letter carrier,0,6,Large-City,Single,0,0,4,3,3,3,3,1,4,5,5,3,4,4,4,3,4,2,4,2,5,3,4,2,4,5,4,4,4,4,3,3,4,4,3,4,5,2,4,4,4,4,2,2,3,2,4,yes,yes,Other,3.2,3.533333,3.75,2.6,0.92,Very High Human Development
2118,United States,28,2,No Kids,ltuni,6,15000,NA,2,0,Large-City,Single,0,0,3,2,2,3,3,2,1,2,2,3,1,2,3,2,4,4,2,4,1,4,4,1,4,5,4,3,3,3,4,1,4,3,3,3,3,5,2,4,3,3,2,2,4,3,3,yes,no,Other,2.6,2.466667,3.25,2.8,0.92,Very High Human Development
2119,United States,22,3,No Kids,deg,6,10000,NA,4,0,Large-City,Single,0,0,3,3,3,3,3,1,2,4,2,2,3,4,3,2,4,2,3,4,1,2,3,2,3,4,1,3,3,4,4,2,2,4,1,3,4,3,2,3,4,4,3,4,3,4,3,yes,yes,Other,3,2.6,2.95,3.4,0.92,Very High Human Development
2120,United States,28,3,No Kids,deg,3,55000,NA,0,3,Large-City,Single,0,0,2,3,2,2,2,1,3,5,4,2,1,3,1,1,3,5,4,5,2,3,4,2,2,3,2,2,2,3,3,5,2,2,1,1,1,5,5,2,4,3,3,3,3,2,5,yes,no,Other,2.2,2.866667,2.7,3.2,0.92,Very High Human Development
2121,United States,55,2,Yes Kids,high,3,55000,letter carrier,23,0,Large Town,Divorced,4,0,4,3,3,3,3,5,3,4,3,4,2,4,4,3,4,5,4,4,4,5,5,3,5,5,5,3,5,4,4,3,3,3,5,5,4,5,5,5,5,5,3,3,4,4,4,yes,yes,Other,3.2,3.866667,4.35,3.6,0.92,Very High Human Development
2122,United States,32.5,3,No Kids,ma,4,15000,teacher's assistant/afterschool leader,0,7,Large-City,Married,0,0,4,5,5,4,4,1,3,5,5,3,2,3,5,4,4,3,4,2,5,4,4,5,4,5,5,4,4,2,4,4,4,4,1,4,4,5,3,4,4,4,2,2,2,2,2,yes,yes,Teacher,4.4,3.533333,3.9,2,0.92,Very High Human Development
2123,United States,37.5,3,No Kids,ma,6,15000,Graduate Assistant,2,7,Large-City,Married,0,0,5,5,5,3,3,1,2,5,4,4,1,5,4,3,4,1,3,2,4,2,5,1,3,5,1,2,4,4,5,4,5,4,3,4,4,5,3,5,3,5,3,3,3,3,3,yes,yes,Other,4.2,3,3.75,3,0.92,Very High Human Development
2124,United States,55,3,No Kids,ma,3,87500,film editor,23,0,Large-City,Divorced,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,no,no,Other,1,1.066667,1,5,0.92,Very High Human Development
2125,United States,28,3,No Kids,ltuni,6,15000,insurance broker's assistant,10,0,Small City,Single,0,0,4,3,3,4,3,5,1,1,2,4,4,2,3,4,4,1,1,2,1,4,4,3,1,5,1,4,4,3,4,3,3,3,3,2,3,1,3,2,3,3,2,5,3,4,4,yes,,Insurance/Insurance Related,3.4,2.6,2.9,3.6,0.92,Very High Human Development
2126,United States,21,2,No Kids,deg,6,10000,NA,3,9,Large Town,Single,0,0,4,4,5,4,4,2,4,5,4,4,3,4,5,4,4,3,4,5,3,3,4,5,3,4,4,4,4,4,4,2,4,4,3,4,4,5,4,4,5,4,1,1,1,1,1,yes,yes,Other,4.2,3.8,3.95,1,0.92,Very High Human Development
2127,United States,28,2,No Kids,deg,6,15000,NA,1,8,Small City,Single,0,0,4,4,3,3,3,3,1,5,3,3,4,4,4,3,5,4,1,5,2,5,5,3,4,3,1,5,4,3,5,3,3,3,5,5,5,5,4,4,5,5,4,4,4,5,3,yes,yes,Other,3.4,3.466667,4,4,0.92,Very High Human Development
2128,United States,20,2,No Kids,ltuni,6,10000,NA,NA,0,Large-City,Single,0,0,2,2,3,2,2,1,1,2,2,1,1,2,1,1,3,3,3,4,2,1,2,2,2,1,2,2,3,3,3,3,3,2,1,3,2,4,3,3,2,2,3,4,4,4,5,no,no,Other,2.2,1.866667,2.4,4,0.92,Very High Human Development
2129,United States,45,2,No Kids,ma,3,87500,Software trainer,4,5,Large-City,Single,0,0,4,5,5,5,5,2,1,4,3,2,4,4,4,3,4,5,3,5,2,4,4,5,4,2,5,4,5,3,5,2,5,5,3,5,5,5,5,5,5,5,1,3,1,3,1,yes,yes,Other,4.8,3.333333,4.35,1.8,0.92,Very High Human Development
2130,United States,45,2,Yes Kids,deg,7,150000,home maker,10,0,Small City,Married,1,0,5,5,3,2,2,2,1,2,1,2,2,1,3,2,2,2,1,2,2,4,4,2,2,5,2,3,3,3,4,2,3,4,3,3,3,3,2,3,4,3,3,5,4,3,2,yes,no,Other,3.4,1.933333,3.05,3.4,0.92,Very High Human Development
2131,United States,55,2,Yes Kids,phd,5,NA,NA,0,0,Small Town,Married,0,3,2,2,2,2,2,2,1,4,2,2,1,3,1,2,2,3,3,4,3,3,3,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,1,4,4,4,4,4,no,no,Other,2,2.4,2.55,4,0.92,Very High Human Development
2132,United States,45,2,No Kids,ltuni,7,10000,self employeed,10,0,Small City,Married,0,0,4,4,5,4,4,2,2,4,4,4,4,4,5,4,4,2,4,2,2,4,4,3,4,4,3,2,2,5,4,2,3,4,1,3,5,3,1,3,3,3,2,1,2,3,5,yes,yes,Self Employeed,4.2,3.4,3.1,2.6,0.92,Very High Human Development
